x1=0.15000000000000002 v1=0 x2=0.25 v2=0
x1=0.1420485049654377 v1=-0.25882060802835954 x2=0.24976418697605038 v2=-0.015844273012341842
x1=0.14178797637222587 v1=-0.2622278942516637 x2=0.24974794415990248 v2=-0.016641088571991116
x1=0.1415240658466648 v1=-0.26558435999771135 x2=0.2497308921581929 v2=-0.017462630649356214
x1=0.1412568245052667 v1=-0.26888941490040075 x2=0.24971300611873562 v2=-0.018309150166946377
x1=0.14098630404853607 v1=-0.2721424813607632 x2=0.2496942609422538 v2=-0.019180890379583346
x1=0.14071255674813224 v1=-0.27534299468718926 x2=0.2496746312900884 v2=-0.02007808679296157
x1=0.14043563543389329 v1=-0.27849040323230245 x2=0.249654091591987 v2=-0.021000967084280876
x1=0.14015559348072495 v1=-0.2815841685264456 x2=0.249632616053971 v2=-0.021949751024973083
x1=0.13987248479535755 v1=-0.28462376540774476 x2=0.249610178666279 v2=-0.022924650405543475
x1=0.13958636380297476 v1=-0.28760868214871743 x2=0.24958675321138438 v2=-0.02392586896254745
x1=0.13929728543371736 v1=-0.2905384205793922 x2=0.2495623132720847 v2=-0.024953602307722172
x1=0.13900530510906578 v1=-0.293412496206908 x2=0.24953683223966094 v2=-0.026008037859292406
x1=0.13871047872810463 v1=-0.29623043833156193 x2=0.24951028332210434 v2=-0.027089354775469237
x1=0.1384128626536732 v1=-0.29899179015927624 x2=0.24948263955240862 v2=-0.028197723890159697
x1=0.13811251369840508 v1=-0.30169610891045456 x2=0.24945387379692538 v2=-0.029333307650904836
x1=0.13780948911066088 v1=-0.30434296592520016 x2=0.24942395876378046 v2=-0.03049626005906314
x1=0.13750384656035752 v1=-0.3069319467648685 x2=0.24939286701134894 v2=-0.031686726612255585
x1=0.13719564412469776 v1=-0.30946265130992817 x2=0.24936057095678663 v2=-0.03290484424908808
x1=0.13688494027380385 v1=-0.3119346938541048 x2=0.24932704288461563 v2=-0.03415074129616645
x1=0.13657179385625876 v1=-0.3143477031947842 x2=0.24929225495536175 v2=-0.035424537417418425
x1=0.136256264084559 v1=-0.3167013227196506 x2=0.24925617921424142 v2=-0.036726343565736605
x1=0.13593841052048264 v1=-0.31899521048953866 x2=0.2492187875998958 v2=-0.03805626193695568
x1=0.13561829306037643 v1=-0.3212290393174772 x2=0.24918005195316978 v2=-0.039414385926176645
x1=0.13529597192036566 v1=-0.32340249684390493 x2=0.24913994402593342 v2=-0.04080080008645002
