| 0.50000000 | -0.40000000 | 0.15000000 | 0.25000000 | 0.00 |
| 1.00000000 | 0.10000000 | 0.16000000 | 0.24200000 | 0.02 |
| 1.44400000 | 0.63600000 | 0.18000000 | 0.24400000 | 0.04 |
| 1.81200000 | 1.11600000 | 0.20888000 | 0.25672000 | 0.06 |
| 2.08992000 | 1.51632000 | 0.24512000 | 0.27904000 | 0.08 |
| 2.26752000 | 1.82208000 | 0.28691840 | 0.30936640 | 0.10 |
| 2.33857920 | 2.02262400 | 0.33226880 | 0.34580800 | 0.12 |
| 2.30112000 | 2.11150080 | 0.37904038 | 0.38626048 | 0.14 |
| 2.15747942 | 2.08667981 | 0.42506278 | 0.42849050 | 0.16 |
| 1.91420928 | 1.95062400 | 0.46821237 | 0.47022409 | 0.18 |
| 1.58180797 | 1.71018584 | 0.50649656 | 0.50923657 | 0.20 |
| 1.17429489 | 1.37632795 | 0.53813272 | 0.54344029 | 0.22 |
| 0.70864459 | 0.96367974 | 0.56161862 | 0.57096685 | 0.24 |
| 0.20410383 | 0.48994813 | 0.57579151 | 0.59024044 | 0.26 |
| -0.31858131 | -0.02479404 | 0.57987358 | 0.60003941 | 0.28 |
| -0.83799684 | -0.55891296 | 0.57350196 | 0.59954352 | 0.30 |
| -1.33291762 | -1.09007997 | 0.55674202 | 0.58836527 | 0.32 |
| -1.78315517 | -1.59616411 | 0.53008367 | 0.56656367 | 0.34 |
| -2.17036251 | -2.05611517 | 0.49442056 | 0.53464038 | 0.36 |
| -2.47876401 | -2.45080215 | 0.45101331 | 0.49351808 | 0.38 |
| -2.69578110 | -2.76377354 | 0.40143803 | 0.44450204 | 0.40 |
| -2.81252917 | -2.98190911 | 0.34752241 | 0.38922657 | 0.42 |
| -2.82416568 | -3.09593747 | 0.29127183 | 0.32958838 | 0.44 |
| -2.73007623 | -3.10079879 | 0.23478852 | 0.26766963 | 0.46 |
| -2.53389102 | -2.99583847 | 0.18018699 | 0.20565366 | 0.48 |
| -2.24333167 | -2.78482436 | 0.12950917 | 0.14573689 | 0.50 |
| -1.86989457 | -2.47578711 | 0.08464254 | 0.09004040 | 0.52 |
| -1.42838391 | -2.08069030 | 0.04724465 | 0.04052466 | 0.54 |
| -0.93631317 | -1.61494394 | 0.01867697 | -0.00108915 | 0.56 |
| -0.41319934 | -1.09678095 | -0.00004930 | -0.03338802 | 0.58 |
| 0.12022180 | -0.54652188 | -0.00831328 | -0.05532364 | 0.60 |
| 0.64282764 | 0.01424252 | -0.00590885 | -0.06625408 | 0.62 |
| 1.13395487 | 0.56351811 | 0.00694771 | -0.06596923 | 0.64 |
| 1.57422558 | 1.07978874 | 0.02962680 | -0.05469887 | 0.66 |
| 1.94632063 | 1.54287693 | 0.06111132 | -0.03310309 | 0.68 |
| 2.23566919 | 1.93474945 | 0.10003773 | -0.00224555 | 0.70 |
| 2.43102716 | 2.24023575 | 0.14475111 | 0.03644943 | 0.72 |
| 2.52492159 | 2.44763052 | 0.19337165 | 0.08125415 | 0.74 |
| 2.51394327 | 2.54915660 | 0.24387009 | 0.13020676 | 0.76 |
| 2.39887644 | 2.54126992 | 0.29414895 | 0.18118989 | 0.78 |
| 2.18466041 | 2.42479456 | 0.34212648 | 0.23201529 | 0.80 |
| 1.88018507 | 2.20488280 | 0.38581969 | 0.28051118 | 0.82 |
| 1.49792868 | 1.89080209 | 0.42342339 | 0.32460884 | 0.84 |
| 1.05345279 | 1.49555778 | 0.45338196 | 0.36242488 | 0.86 |
| 0.56477469 | 1.03536696 | 0.47445102 | 0.39233603 | 0.88 |
| 0.05164268 | 0.52900466 | 0.48574651 | 0.41304337 | 0.90 |
| -0.46525663 | -0.00295104 | 0.48677937 | 0.42362347 | 0.92 |
| -0.96512716 | -0.53894482 | 0.47747423 | 0.42356445 | 0.94 |
| -1.42789521 | -1.05730758 | 0.45817169 | 0.41278555 | 0.96 |
| -1.83501087 | -1.53712292 | 0.42961379 | 0.39163940 | 0.98 |
| -2.17018723 | -1.95906209 | 0.39291357 | 0.36089694 | 1.00 |
| -2.42004763 | -2.30615397 | 0.34950983 | 0.32171570 | 1.02 |
| -2.57465553 | -2.56445937 | 0.30110887 | 0.27559262 | 1.04 |
| -2.62790579 | -2.72362302 | 0.24961576 | 0.22430343 | 1.06 |
| -2.57776197 | -2.77728113 | 0.19705765 | 0.16983097 | 1.08 |
| -2.42633062 | -2.72330862 | 0.14550241 | 0.11428535 | 1.10 |
| -2.17976955 | -2.56389650 | 0.09697579 | 0.05981918 | 1.12 |
| -1.84803438 | -2.30545631 | 0.05338040 | 0.00854125 | 1.14 |
| -1.44447350 | -1.95835606 | 0.01641972 | -0.03756788 | 1.16 |
| -0.98528813 | -1.53649831 | -0.01246975 | -0.07673500 | 1.18 |
| -0.48887911 | -1.05675763 | -0.03217552 | -0.10746497 | 1.20 |
| 0.02489302 | -0.53830021 | -0.04195310 | -0.12860012 | 1.22 |
| 0.53550517 | -0.00181294 | -0.04145524 | -0.13936613 | 1.24 |
| 1.02259387 | 0.53132694 | -0.03074514 | -0.13940238 | 1.26 |
| 1.46676965 | 1.03990837 | -0.01029326 | -0.12877585 | 1.28 |
| 1.85039099 | 1.50373482 | 0.01904214 | -0.10797768 | 1.30 |
